,img,link,name,title
0,http://img4.c.yinyuetai.com/video/mv/181129/0/-M-d2b704ad8d7c52e230c5863b16de27cf_240x135.jpg,http://v.yinyuetai.com/video/3323771,许魏洲,Everything About You
1,http://img4.c.yinyuetai.com/video/mv/181214/0/-M-e4fdc3a344dccf1ae3d26ae777e5a6f7_240x135.jpg,http://v.yinyuetai.com/video/3330366,EXO,宣告
2,http://img3.c.yinyuetai.com/video/mv/181109/0/-M-e5b0328ec52f486951183d27641f9ca7_240x135.jpg,http://v.yinyuetai.com/video/3314972,七朵组合,江南夜 官方版
3,http://img4.c.yinyuetai.com/video/mv/181217/0/-M-fc85c16b6bbf68f10341a68929bfe3de_240x135.jpg,http://v.yinyuetai.com/video/3331528,乐华七子NEXT,Back To You
4,http://img4.c.yinyuetai.com/video/mv/181217/0/-M-bf818f8dd6c87ec8400a92df559fba6c_240x135.jpg,http://v.yinyuetai.com/video/3331439,张杰,我是来揍你的 电影《叶问外传:张天志》主题曲
5,http://img4.c.yinyuetai.com/video/mv/181214/0/-M-2deb83069ea14734eb9fa1266254a17b_240x135.jpg,http://v.yinyuetai.com/video/3330394,江映蓉,重新定义
6,http://img3.c.yinyuetai.com/video/mv/181207/0/-M-1b464302bc4bb9a971fa58931a64ae6b_240x135.jpg,http://v.yinyuetai.com/video/3327739,王霏霏,Hello (feat. 王嘉尔)
7,http://img0.c.yinyuetai.com/video/mv/181103/0/-M-2dd471a03dd624206220d353381b1854_240x135.jpg,http://v.yinyuetai.com/video/3312173,EXO,节奏
8,http://img3.c.yinyuetai.com/video/mv/181219/0/-M-e1f06bbb62b1db841b7fbff63370a58a_240x135.jpg,http://v.yinyuetai.com/video/3332322,毛不易,别再闹了 电影《来电狂响》暖冬主题曲
9,http://img3.c.yinyuetai.com/video/mv/181203/0/-M-a97a91b37e2c061c1656e2eb8363ee68_240x135.jpg,http://v.yinyuetai.com/video/3325490,NINE PERCENT,离不开
10,http://img3.c.yinyuetai.com/video/mv/181126/0/-M-ae3d21ea3db604ecac72e078a407d7ad_240x135.jpg,http://v.yinyuetai.com/video/3322449,NINE PERCENT,I Need a Doctor
11,http://img0.c.yinyuetai.com/video/mv/181219/0/-M-bbd5462f4b39ea168b7d13721f4ea654_240x135.jpg,http://v.yinyuetai.com/video/3332319,侯明昊,人不彪悍枉少年 网剧《人不彪悍枉少年》插曲
12,http://img4.c.yinyuetai.com/video/mv/181218/0/-M-433818c7c3ffe1975df0f5347c8a9764_240x135.jpg,http://v.yinyuetai.com/video/3332076,金雯昕,下一个你
13,http://img1.c.yinyuetai.com/video/mv/181113/0/-M-37619c3b2fb93294f79b439216cf9686_240x135.jpg,http://v.yinyuetai.com/video/3316506,NINE PERCENT,创新者 官方版
14,http://img0.c.yinyuetai.com/video/mv/181213/0/-M-f3f2c37eb50e77a9f059e99eff263985_240x135.jpg,http://v.yinyuetai.com/video/3330101,袁娅维,自然
15,http://img1.c.yinyuetai.com/video/mv/181214/0/-M-c839766a0db4fe26401433cf36c8112f_240x135.jpg,http://v.yinyuetai.com/video/3330528,李玉刚,夜将至 影视剧《将夜》插曲
16,http://img1.c.yinyuetai.com/video/mv/181213/0/-M-3410099ed917fd0ca8aefb6be7aae8dd_240x135.jpg,http://v.yinyuetai.com/video/3330241,筷子兄弟,天气预爆 电影《天气预爆》同名主题曲
17,http://img0.c.yinyuetai.com/video/mv/181128/0/-M-d0ef1ea03ad1a94e446b0dcd2ee64ed2_240x135.jpg,http://v.yinyuetai.com/video/3323193,张杰,无药可救
18,http://img4.c.yinyuetai.com/video/mv/181218/0/-M-4f0ec80ea0ba11b906f28ffff1c2d576_240x135.jpg,http://v.yinyuetai.com/video/3332005,窦靖童,Long Day's Journey Into Night 电影《地球最后的夜晚》宣传曲
19,http://img0.c.yinyuetai.com/video/mv/181219/0/-M-d47d7060fa4168f9108a67c41a90f2c4_240x135.jpg,http://v.yinyuetai.com/video/3332400,木及少年,眸光
